source_paper,target_paper
104447,13091
15858,47283
107156,69161
107156,136440
107156,107366
107156,158460
141536,90124
141536,121740
141536,122427
141536,161023
141536,84342
82077,19879
82077,147042
82077,35436
31735,21375
42436,90249
42436,32625
141537,6591
27755,67879
27755,102869
88685,11734
88685,150492
88685,26107
88685,148059
19875,102033
124316,66343
124316,80759
93960,162918
93960,79085
82078,49187
82078,20075
82078,120025
82078,81746
82078,52854
82078,153223
23846,141566
157506,10578
58394,134600
58394,73960
58394,44773
58394,16921
160132,69161
160132,67226
160132,80377
79476,49267
79476,88828
79476,51904
79476,76403
124317,65092
124317,131082
124317,24696
124317,20726
124317,23478
124317,154492
6447,143121
97929,65066
97929,76382
97929,52615
97929,4907
80756,104499
149644,148061
140236,14183
75619,156982
75619,2242
79477,158981
119037,6582
119037,87533
119037,7211
0,93487
0,52893
25136,29140
25136,125817
25136,150473
71637,48850
162785,85604
153498,149695
113762,83423
158833,138493
158833,133238
158833,27473
158833,106910
85999,116610
85999,18729
85999,15542
93961,141255
157507,154969
122950,125
122950,49319
122950,42653
105794,142957
33065,3986
33065,158578
18561,105859
108478,98114
108478,20793
108478,105441
27756,82151
145622,13207
145622,157018
145622,163607
145622,121208
145622,77842
70321,152997
70321,108113
128271,15864
128271,107347
128271,35993
10350,31314
34407,120440
34407,4003
34407,109961
34407,100689
34407,18764
34407,130465
34407,109467
34407,134699
13076,71685
13076,39902
13076,101376
13076,121244
13076,157181
93962,18286
100548,15378
100548,146545
21184,78407
126951,7853
108479,105291
108479,72575
138894,120498
145623,43927
145623,151820
141538,167517
141538,88252
141538,163659
141538,96349
157508,14616
157508,4096
157508,7225
157508,51292
157508,127818
157508,138659
22485,16805
82079,120351
82079,2644
82079,51800
82079,111209
82079,87455
82079,69141
82079,96751
82079,129783
82079,147122
82079,88881
82079,88895
82079,30591
82079,7381
82079,15613
111120,99385
62345,25187
62345,166777
62345,31855
62345,42564
62345,79586
62345,25267
62345,86134
62345,120503
62345,125788
62345,35912
62345,42707
62345,118195
62345,3175
62345,5995
62345,57896
62345,121207
62345,42168
62345,16966
26459,165504
116475,26117
116475,10023
64995,74496
64995,31322
64995,54219
157509,71198
27757,82228
142919,71846
19876,7295
19876,104021
50442,117884
50442,24046
50442,9266
50442,29900
50442,72486
50442,31301
50442,43406
50442,75344
86001,124352
86001,142379
86001,12561
86001,26066
86001,117547
119038,13201
119038,107337
91337,63378
115159,59821
115159,153617
115159,27894
115159,27902
115159,61188
115159,77047
115159,63844
115159,95477
115159,149854
115159,41380
115159,161843
115159,7402
115159,81746
7699,102010
148333,7857
148333,88415
64996,127026
64996,63294
9056,162320
141539,59813
141539,161568
141539,139691
126952,96110
64997,168071
64997,13919
64997,134514
64997,49974
64997,18296
64997,34125
5200,63374
79478,36594
162786,13097
162786,136281
162786,31809
162786,124445
93963,145699
93963,20050
93963,29295
93963,65191
93963,119882
93963,135820
93963,22060
93963,40775
93963,31391
93963,148014
93963,85755
22487,74387
78164,149131
78164,143875
120347,9927
136245,133257
136245,71245
136245,159835
136245,125392
160133,18743
54467,67815
54467,65156
54467,1499
54467,30566
54467,98285
54467,149149
54467,26017
54467,121252
54467,163679
54467,153189
1331,150888
1331,14503
146984,164106
146984,104539
146984,18747
19878,16001
19878,114620
19878,65858
162787,153642
162787,83523
128272,82875
31737,42645
75620,71821
75620,16065
75620,125119
75620,14201
75620,139975
75620,59683
80757,22057
126953,42012
