model,node_id,true_class,predicted_class,confidence
GCN,346,24,10,0.4459502
GCN,398,10,27,0.37018862
GCN,451,24,24,0.66970444
GCN,480,4,4,0.3798481
GCN,488,20,20,0.7757324
GCN,490,28,28,0.88074094
GCN,526,16,16,0.95458275
GCN,537,16,16,0.95316446
GCN,540,16,16,0.97090954
GCN,602,19,19,0.5029386
GCN,616,16,16,0.9978136
GCN,666,18,5,0.14551102
GCN,682,24,10,0.3753188
GCN,683,24,24,0.34673488
GCN,685,24,24,0.8059728
GCN,688,30,16,0.51372
GCN,690,16,16,0.93767947
GCN,691,28,8,0.645383
GCN,692,27,27,0.8013068
GCN,693,16,16,0.9779357
GCN,694,25,16,0.33920395
GCN,696,9,9,0.902012
GCN,697,39,36,0.1906237
GCN,698,27,27,0.7232313
GCN,699,8,28,0.17794414
GCN,700,28,8,0.59686816
GCN,701,24,16,0.58835965
GCN,702,31,31,0.92701316
GCN,703,24,24,0.7655745
GCN,704,24,24,0.4776115
GCN,705,28,28,0.64301646
GCN,706,16,16,0.36672902
GCN,707,26,31,0.2966927
GCN,708,19,24,0.47381267
GCN,709,5,5,0.22374414
GCN,710,24,24,0.74837124
GCN,711,24,24,0.4180908
GCN,712,20,16,0.97999156
GCN,713,16,16,0.71917903
GCN,714,16,16,0.9259123
GCN,715,16,16,0.89358324
GCN,716,13,24,0.20796199
GCN,717,34,24,0.62317693
GCN,718,24,10,0.25012186
GCN,719,16,24,0.36673638
GCN,720,16,16,0.9690099
GCN,721,16,16,0.98643094
GCN,722,16,16,0.8973022
GCN,723,24,24,0.6831569
GCN,724,16,16,0.90517646
GCN,725,28,28,0.7724569
GCN,726,18,28,0.35665184
GCN,727,24,24,0.85636365
GCN,728,24,16,0.2731414
GCN,729,16,16,0.9866084
GCN,730,16,16,0.98397696
GCN,731,30,30,0.7328886
GCN,732,19,19,0.2951419
GCN,733,26,26,0.9894622
GCN,734,4,24,0.4708862
GCN,735,28,28,0.96095556
GCN,736,19,19,0.850905
GCN,737,19,5,0.434148
GCN,738,16,16,0.9362508
GCN,739,24,24,0.49451184
GCN,740,27,27,0.29249552
GCN,741,6,16,0.56648684
GCN,742,24,16,0.93261737
GCN,743,16,16,0.9868767
GCN,744,4,4,0.46682987
GCN,745,16,16,0.9574504
GCN,747,5,5,0.57761693
GCN,748,16,16,0.67505974
GCN,749,28,28,0.7809402
GCN,750,16,16,0.9596572
GCN,751,30,30,0.9301203
GCN,752,16,16,0.9725787
GCN,753,16,16,0.94953346
GCN,754,22,34,0.6092669
GCN,755,30,24,0.27000132
GCN,756,16,16,0.9847579
GCN,757,16,16,0.93967414
GCN,758,4,4,0.6796381
GCN,759,24,16,0.62100774
GCN,760,2,19,0.44637537
GCN,761,30,30,0.656272
GCN,762,16,16,0.9955106
GCN,763,16,4,0.30625647
GCN,764,28,28,0.52216876
GCN,765,24,24,0.68043476
GCN,766,30,26,0.36161917
GCN,767,24,16,0.50111145
GCN,768,16,16,0.90897405
GCN,769,24,10,0.57387096
GCN,770,24,16,0.34923634
GCN,771,16,16,0.67930716
GCN,772,16,16,0.9807113
GCN,773,34,34,0.7145238
GCN,774,16,16,0.5540458
GCN,775,16,16,0.5992513
GCN,776,3,3,0.42565906
GCN,777,30,30,0.33539075
GCN,778,24,24,0.45200193
GCN,779,5,36,0.33493635
GCN,780,39,2,0.4635749
GCN,781,30,30,0.96066046
GCN,782,24,24,0.5186995
GCN,783,34,34,0.27075922
GCN,784,4,4,0.98843926
GCN,785,13,13,0.4189107
GCN,786,24,24,0.92186064
GCN,787,30,30,0.6895062
GCN,788,24,24,0.4992721
GCN,789,38,38,0.88281894
GCN,790,24,16,0.5136992
GCN,791,16,16,0.9696233
GCN,792,24,24,0.9470459
GCN,793,24,10,0.15873504
GCN,794,24,24,0.403024
GCN,795,24,24,0.8298173
GCN,796,24,24,0.64161164
GCN,797,27,27,0.7494258
GCN,798,24,30,0.64191926
GCN,799,16,16,0.90152615
GCN,800,24,24,0.95604974
GCN,801,16,16,0.79442453
GCN,802,3,6,0.3129727
GCN,804,30,30,0.5257118
GCN,811,30,30,0.9917154
GCN,814,27,27,0.9109098
GCN,829,30,30,0.97081167
GCN,830,24,24,0.83415693
GCN,832,24,24,0.708446
GCN,861,3,5,0.21615057
GCN,870,29,28,0.7524195
GCN,872,31,36,0.27999175
GCN,877,23,23,0.44627908
GCN,879,30,30,0.39107573
GCN,882,16,16,0.8606038
GCN,888,8,28,0.65617645
GCN,897,6,24,0.7351488
GCN,898,30,30,0.63268447
GCN,906,31,16,0.7584839
GCN,937,30,16,0.7904549
GCN,962,24,16,0.5558641
GCN,976,30,30,0.73217934
GCN,977,24,24,0.6013285
GCN,978,24,24,0.40147537
GCN,984,16,16,0.8013841
GCN,993,2,37,0.3076742
GCN,995,30,30,0.6966977
GCN,1004,1,16,0.6940036
GCN,1011,10,10,0.14905132
GCN,1012,39,9,0.22994843
GCN,1018,24,24,0.69748265
GCN,1033,22,22,0.2971665
GCN,1045,5,5,0.25363547
GCN,1046,20,20,0.8108152
GCN,1071,27,27,0.8035516
GCN,1089,24,24,0.8155877
GCN,1091,31,30,0.8218196
GCN,1092,16,16,0.90531206
GCN,1093,24,16,0.6129537
GCN,1094,16,16,0.9115586
GCN,1095,11,26,0.53644973
GCN,1096,27,27,0.5199251
GCN,1098,16,16,0.4413249
GCN,1099,30,30,0.92304903
GCN,1100,24,24,0.43765077
GCN,1101,30,30,0.839458
GCN,1102,16,16,0.98997736
GCN,1103,27,24,0.31999144
GCN,1104,34,34,0.48089194
GCN,1105,4,4,0.44523543
GCN,1106,16,16,0.99003875
GCN,1107,23,23,0.6863434
GCN,1108,36,36,0.7167986
GCN,1109,16,16,0.9349203
GCN,1112,24,24,0.6012526
GCN,1113,7,7,0.3383021
GCN,1114,8,28,0.73684305
GCN,1117,24,24,0.8603085
GCN,1118,37,26,0.39524233
GCN,1119,24,24,0.75162536
GCN,1120,24,24,0.70149446
GCN,1121,2,2,0.6363052
GCN,1122,30,30,0.9183534
GCN,1123,34,34,0.6116942
GCN,1124,24,10,0.5844624
GCN,1125,24,24,0.4582592
GCN,1126,16,16,0.99498665
GCN,1127,16,16,0.6749899
GCN,1128,9,9,0.51227313
GCN,1129,5,8,0.4646559
GCN,1130,24,10,0.5094866
GCN,1131,23,23,0.76477224
GCN,1132,16,16,0.99147403
GCN,1133,16,16,0.31145442
GCN,1134,24,24,0.46574914
GCN,1135,30,30,0.94374907
GCN,1136,31,30,0.55098885
GCN,1137,16,16,0.96831155
GCN,1138,33,33,0.97313005
GCN,1139,5,5,0.7452049
GCN,1140,16,16,0.9483961
GCN,1141,16,16,0.7570975
GCN,1142,8,5,0.4663021
GCN,1143,24,10,0.5111585
GCN,1144,4,4,0.92764693
GCN,1145,16,16,0.9847035
GCN,1146,24,16,0.63941437
GCN,1147,28,28,0.84175247
GCN,1148,10,10,0.2773368
GCN,1149,2,2,0.9001225
GCN,1150,16,16,0.9160168
GCN,1151,30,30,0.8233218
GCN,1152,24,16,0.60056245
GCN,1153,16,16,0.849347
GCN,1154,16,16,0.989986
GCN,1155,36,36,0.75326556
GCN,1156,16,16,0.3426948
GCN,1157,20,20,0.8587428
GCN,1158,16,16,0.9319815
GCN,1159,24,16,0.50457186
GCN,1160,24,16,0.5519886
GCN,1161,27,27,0.46491766
GCN,1162,4,4,0.73369473
GCN,1163,24,24,0.9576908
GCN,1164,11,10,0.41268864
GCN,1165,9,34,0.7397778
GCN,1166,16,16,0.9649832
GCN,1167,6,34,0.21704179
GCN,1168,4,24,0.31398287
