node_id,pca_1,pca_2,true_label,model
81488,0.9504914,4.61138,17,GCN
114492,1.0726295,-2.4533272,28,GCN
132203,0.69990396,2.2455182,25,GCN
3867,-3.133886,0.2952404,16,GCN
52939,-3.4645576,-1.9810691,16,GCN
160111,-0.47448397,2.7639217,24,GCN
44984,2.6218987,4.793255,30,GCN
160023,-2.1951013,-1.0204773,3,GCN
117684,-2.101232,-1.3519102,24,GCN
117718,1.4187951,6.0333495,6,GCN
74283,0.27974463,-2.79183,5,GCN
64911,1.4743905,4.0926375,10,GCN
11454,-4.0793824,-1.1676819,25,GCN
48985,-0.15793061,-4.1303067,28,GCN
53787,11.85493,-2.921514,4,GCN
134296,-1.5814526,-2.8533583,8,GCN
105362,3.0587568,-1.7375867,2,GCN
104755,-0.2704556,0.83076906,24,GCN
14253,3.5662613,-1.7636868,26,GCN
70290,0.1794424,-1.9414803,28,GCN
23798,1.4592719,2.7608738,24,GCN
84601,-0.56768775,-3.392928,5,GCN
154196,-3.5805132,-2.116533,16,GCN
100460,4.48501,1.9070902,11,GCN
108307,-0.6742768,1.8529954,24,GCN
15290,1.271544,-1.6640534,10,GCN
40873,2.1878247,-1.717817,8,GCN
19763,3.4192667,-4.1596475,5,GCN
144966,0.60361147,-2.1150336,4,GCN
75032,-4.217916,-1.3882133,16,GCN
96562,2.0616274,1.2888088,24,GCN
92437,4.763713,-2.179666,34,GCN
38250,0.75634575,-1.6061612,8,GCN
122835,-2.7221835,0.70024204,30,GCN
133339,5.4548826,14.712231,16,GCN
159613,-0.46697307,-4.2896967,28,GCN
59521,-2.2392476,2.7454014,16,GCN
102760,-1.7196872,0.5936518,16,GCN
134447,2.7909436,2.6110902,24,GCN
148082,1.4724097,-2.218503,4,GCN
34186,1.1019478,0.32450128,24,GCN
15697,-2.4167213,-1.2154602,30,GCN
114936,-1.5452316,2.8005934,16,GCN
81749,-0.6941693,1.5076475,24,GCN
146965,-1.6277735,-0.41724586,16,GCN
92596,1.5749683,-0.11972451,10,GCN
72787,-3.7169304,-1.3050356,1,GCN
113688,-3.3950207,-3.2310312,24,GCN
34387,0.76776695,-1.0636601,4,GCN
59212,0.7115741,-0.4847579,24,GCN
27661,-0.057863712,-1.8118125,3,GCN
151587,1.9575348,2.243013,20,GCN
58135,1.4875035,2.1515718,24,GCN
3767,1.9171414,4.162557,30,GCN
114857,-2.6267176,1.4324775,16,GCN
158664,1.3014641,-4.7698736,28,GCN
151568,0.41587496,-3.5539412,8,GCN
165229,-3.5336025,0.59465766,16,GCN
167899,-0.2625606,2.6107616,24,GCN
85400,3.6168175,-2.7955475,34,GCN
80151,3.177732,-3.1206121,2,GCN
113199,1.43857,-2.210339,37,GCN
74181,3.060233,-5.38101,29,GCN
81961,0.9536991,-2.8839796,28,GCN
133049,6.017352,-1.0083928,28,GCN
29019,-2.7455583,1.5498037,16,GCN
114470,11.5295925,17.542576,24,GCN
109700,-0.6813166,-1.8426821,10,GCN
11632,-1.9854355,0.19938564,27,GCN
161432,0.22451639,-0.030441284,3,GCN
115911,0.5185118,-1.9881771,2,GCN
103872,2.4134483,-0.5676968,26,GCN
24606,1.0030799,3.3149576,30,GCN
78895,-1.5272923,2.3630357,16,GCN
89769,2.7410364,-2.5393248,19,GCN
99969,-1.113939,1.2279506,30,GCN
65712,1.7424679,1.0072613,24,GCN
161342,-2.9712873,-0.36090207,4,GCN
96415,-1.425031,1.7632403,30,GCN
146797,-2.3957253,0.77132916,30,GCN
96374,2.5038552,2.48319,24,GCN
9752,2.7225714,5.0522246,3,GCN
133103,-0.933516,-0.55105615,24,GCN
162240,-0.003314495,1.0777597,24,GCN
